x y z
124.8440 48.2137 2.0000
124.7770 48.2075 2.0000
124.7110 48.2012 2.0000
124.6450 48.1949 2.0000
124.5780 48.1887 2.0000
124.5120 48.1824 2.0000
124.4450 48.1761 2.0000
124.3790 48.1699 2.0000
124.3130 48.1636 2.0000
124.2460 48.1573 2.0000
124.1800 48.1511 2.0000
124.1140 48.1448 2.0000
124.0470 48.1386 2.0000
123.9810 48.1323 2.0000
123.9140 48.1261 2.0000
123.8480 48.1198 2.0000
123.7820 48.1136 2.0000
123.7150 48.1073 2.0000
123.6490 48.1011 2.0000
123.5830 48.0949 2.0000
123.5160 48.0886 2.0000
123.4500 48.0824 2.0000
123.3830 48.0762 2.0000
123.3170 48.0700 2.0000
123.2510 48.0637 2.0000
123.1840 48.0575 2.0000
123.1180 48.0513 2.0000
123.0520 48.0451 2.0000
122.9850 48.0389 2.0000
122.9190 48.0327 2.0000
122.8520 48.0266 2.0000
122.7860 48.0204 2.0000
122.7200 48.0142 2.0000
122.6530 48.0080 2.0000
122.5870 48.0019 2.0000
122.5210 47.9957 2.0000
122.4540 47.9896 2.0000
122.3880 47.9834 2.0000
122.3210 47.9773 2.0000
122.2550 47.9711 2.0000
122.1890 47.9650 2.0000
122.1220 47.9589 2.0000
122.0560 47.9528 2.0000
121.9890 47.9467 2.0000
121.9230 47.9406 2.0000
121.8570 47.9345 2.0000
121.7900 47.9284 2.0000
121.7240 47.9224 2.0000
121.6570 47.9163 2.0000
121.5910 47.9103 2.0000
121.5250 47.9042 2.0000
121.4580 47.8982 2.0000
121.3920 47.8921 2.0000
121.3260 47.8861 2.0000
121.2590 47.8801 2.0000
121.1930 47.8741 2.0000
121.1260 47.8681 2.0000
121.0600 47.8622 2.0000
120.9940 47.8562 2.0000
120.9270 47.8502 2.0000
120.8610 47.8443 2.0000
120.7940 47.8384 2.0000
120.7280 47.8324 2.0000
120.6620 47.8265 2.0000
120.5950 47.8206 2.0000
120.5290 47.8147 2.0000
120.4620 47.8089 2.0000
120.3960 47.8030 2.0000
120.3290 47.7971 2.0000
120.2630 47.7913 2.0000
120.1970 47.7855 2.0000
120.1300 47.7796 2.0000
120.0640 47.7738 2.0000
119.9970 47.7680 2.0000
119.9310 47.7623 2.0000
119.8650 47.7565 2.0000
119.7980 47.7507 2.0000
119.7320 47.7450 2.0000
119.6650 47.7393 2.0000
119.5990 47.7336 2.0000
119.5320 47.7279 2.0000
119.4660 47.7222 2.0000
119.4000 47.7165 2.0000
119.3330 47.7109 2.0000
119.2670 47.7052 2.0000
119.2000 47.6996 2.0000
119.1340 47.6940 2.0000
119.0670 47.6884 2.0000
119.0010 47.6828 2.0000
118.9350 47.6773 2.0000
118.8680 47.6717 2.0000
118.8020 47.6662 2.0000
118.7350 47.6607 2.0000
118.6690 47.6552 2.0000
118.6020 47.6497 2.0000
118.5360 47.6442 2.0000
118.4700 47.6388 2.0000
118.4030 47.6334 2.0000
118.3370 47.6280 2.0000
118.2700 47.6226 2.0000
118.2040 47.6172 2.0000
118.1370 47.6118 2.0000
118.0710 47.6065 2.0000
118.0040 47.6012 2.0000
117.9380 47.5959 2.0000
117.8710 47.5906 2.0000
117.8050 47.5853 2.0000
117.7390 47.5800 2.0000
117.6720 47.5748 2.0000
117.6060 47.5696 2.0000
117.5390 47.5644 2.0000
117.4730 47.5592 2.0000
117.4060 47.5541 2.0000
117.3400 47.5490 2.0000
117.2730 47.5439 2.0000
117.2070 47.5388 2.0000
117.1400 47.5337 2.0000
