run_id,n_trucks,n_valid,n_blocked,pct_blocked
0,0,9877,0,0.0
1,5,9877,476,4.82
2,10,9877,1001,10.13
3,15,9877,1483,15.01
4,20,9877,1796,18.18
5,25,9877,2024,20.49
6,30,9877,2183,22.1
7,35,9877,2475,25.06
8,40,9877,2812,28.47
9,45,9877,3192,32.32
10,50,9877,3474,35.17
11,5,9877,641,6.49
12,10,9877,1219,12.34
13,15,9877,1667,16.88
14,20,9877,2364,23.93
15,25,9877,2773,28.08
16,30,9877,3070,31.08
17,35,9877,3235,32.75
18,40,9877,3436,34.79
19,45,9877,3741,37.88
20,50,9877,4068,41.19
21,30,9877,9069,91.82
22,35,9877,8028,81.28
33,10,9877,4508,45.64
