run_id,n_trucks,n_valid,n_blocked,pct_blocked
0,0,9877,0,0.0
1,5,9877,343,3.47
2,10,9877,714,7.23
3,15,9877,1032,10.45
4,20,9877,1295,13.11
5,10,9877,714,7.23
6,12,9877,803,8.13
7,14,9877,970,9.82
8,16,9877,1071,10.84
9,18,9877,1134,11.48
10,20,9877,1295,13.11
11,22,9877,7700,77.96
12,24,9877,7852,79.5
13,26,9877,8021,81.21
14,28,9877,8101,82.02
15,30,9877,8322,84.26
16,32,9877,8395,85.0
17,68,9877,9669,97.89
18,72,9877,9817,99.39
19,114,9877,9867,99.9
20,120,9877,9867,99.9
