run_id,snr,ls_mode,nmse_db
0,-10,adaptive,10.5007
0,-5,adaptive,6.8797
0,0,adaptive,4.5968
0,0,fixed,4.6309
0,0,refnoise,4.5923
0,5,adaptive,3.5448
1,0,adaptive,4.5961
1,0,fixed,4.7892
1,0,refnoise,4.7546
2,0,adaptive,4.5939
2,0,fixed,4.8876
2,0,refnoise,4.8576
3,0,adaptive,4.5959
3,0,fixed,4.8898
3,0,refnoise,4.8587
4,0,adaptive,4.5951
4,0,fixed,4.8898
4,0,refnoise,4.8584
5,0,adaptive,4.5975
5,0,fixed,4.8892
5,0,refnoise,4.8584
6,0,adaptive,4.594
6,0,fixed,4.8999
6,0,refnoise,4.8705
7,0,adaptive,4.5914
7,0,fixed,4.9124
7,0,refnoise,4.8796
8,0,adaptive,4.5938
8,0,fixed,4.9488
8,0,refnoise,4.9153
9,0,adaptive,4.595
9,0,fixed,4.9637
9,0,refnoise,4.93
10,0,adaptive,4.5928
10,0,fixed,4.9697
10,0,refnoise,4.9378
11,0,adaptive,4.6114
11,0,fixed,7.1417
11,0,refnoise,7.1153
12,0,adaptive,4.6069
12,0,fixed,7.1474
12,0,refnoise,7.1299
13,0,adaptive,4.6123
13,0,fixed,7.1474
13,0,refnoise,7.1274
14,0,adaptive,4.6192
14,0,fixed,7.2526
14,0,refnoise,7.231
15,0,adaptive,4.6115
15,0,fixed,7.2532
15,0,refnoise,7.2323
16,0,adaptive,4.6004
16,0,fixed,9.1635
16,0,refnoise,9.1487
17,0,adaptive,4.5983
17,0,fixed,14.7491
17,0,refnoise,14.7475
18,0,adaptive,4.591
18,0,fixed,14.75
18,0,refnoise,14.7465
19,0,adaptive,4.5981
19,0,fixed,17.2148
19,0,refnoise,17.2114
20,0,adaptive,4.5879
20,0,fixed,17.2126
20,0,refnoise,17.2121
