n_trucks,n_users,seed_nmse_agg,ls_nmse_agg,ceiling_db
0,989,-12.79657267962811,4.597548575781178,-12.79657267962811
5,989,-12.880465873963862,4.600061612486267,-12.79657267962811
10,989,-12.67454333768118,4.615096472587222,-12.79657267962811
15,989,-12.722093022313764,4.593376723189215,-12.79657267962811
20,989,-12.859756806192067,4.589827320709366,-12.79657267962811
25,989,-12.762277760241572,4.5881893739376265,-12.79657267962811
30,989,-12.97124176802491,4.596864541709066,-12.79657267962811
35,989,-12.800305346581391,4.597309225467258,-12.79657267962811
40,989,-12.930169724154057,4.595743290924331,-12.79657267962811
45,989,-12.842351105013115,4.5856907064475365,-12.79657267962811
50,989,-12.84584894879172,4.599706699847192,-12.79657267962811
