run_id,ls_mode,ls_nmse_train,ls_nmse_test,model_nmse_train,model_nmse_test,ls_nmse_blocked,model_nmse_blocked
0,adaptive,4.5999,4.6036,,-11.0315,,
0,fixed,4.6776,4.7729,,-7.838,,
0,refnoise,4.5985,4.6019,,-11.1916,,
1,adaptive,4.5952,4.5783,,-11.4543,4.5472,-10.141
1,fixed,4.8519,4.9756,,-8.0226,3.5192,-7.549
1,refnoise,4.7682,4.7789,,-11.3723,5.4963,-9.8987
2,adaptive,4.5983,4.5903,,-12.4833,4.5711,-12.265
2,fixed,4.9564,5.0682,,-8.3923,3.4485,-7.9915
2,refnoise,4.869,4.8642,,-12.2121,5.0983,-11.7908
3,adaptive,4.5959,4.5981,,-12.4241,4.5913,-12.0797
3,fixed,4.9586,5.064,,-8.3076,3.6591,-7.8841
3,refnoise,4.8743,4.874,,-12.112,5.1096,-11.6105
4,adaptive,4.5935,4.5993,,-12.283,4.599,-11.8949
4,fixed,4.9585,5.0691,,-8.3227,3.7982,-7.899
4,refnoise,4.8784,4.8822,,-12.3203,5.1362,-11.916
5,adaptive,4.5935,4.5956,,-12.2027,4.5844,-11.8152
5,fixed,4.9581,5.0649,,-8.5737,3.8832,-8.2092
5,refnoise,4.8718,4.8743,,-12.3654,5.1172,-11.9876
6,adaptive,4.5963,4.5847,,-12.5252,4.5611,-11.8848
6,fixed,4.9724,5.0822,,-8.6589,3.9163,-8.141
6,refnoise,4.8867,4.8748,,-12.4261,5.0982,-11.7658
7,adaptive,4.6028,4.5907,,-12.5996,4.5725,-11.8961
7,fixed,4.9841,5.1012,,-8.7237,4.0081,-8.197
7,refnoise,4.9024,4.9144,,-12.5258,5.1544,-11.7877
8,adaptive,4.5989,4.572,,-12.8084,4.5507,-12.0106
8,fixed,5.0255,5.131,,-8.5483,4.1878,-8.059
8,refnoise,4.9414,4.9256,,-12.625,5.1677,-11.7547
9,adaptive,4.5994,4.5898,,-12.6398,4.5865,-11.7432
9,fixed,5.0436,5.138,,-8.4774,4.3523,-7.9656
9,refnoise,4.9584,4.9504,,-12.712,5.2143,-11.8305
10,adaptive,4.5969,4.5914,,-12.7424,4.5671,-11.9391
10,fixed,5.0489,5.1436,,-8.5559,4.4417,-8.0426
10,refnoise,4.965,4.9539,,-12.8286,5.2159,-11.9183
11,adaptive,4.6003,4.5888,,-11.2488,4.5699,-11.6412
11,fixed,4.8377,4.9197,,-7.9185,3.2679,-7.9885
11,refnoise,4.7594,4.7335,,-11.2518,4.8751,-11.5939
12,adaptive,4.5969,4.5806,,-11.3756,4.5612,-11.8913
12,fixed,4.8359,4.9207,,-7.9697,3.5019,-8.2599
12,refnoise,4.7543,4.7376,,-11.4689,4.8593,-12.1114
13,adaptive,4.5979,4.5931,,-11.2233,4.5781,-11.7112
13,fixed,4.9327,4.9418,,-7.708,3.6257,-7.9356
13,refnoise,4.848,4.7652,,-11.5467,4.9073,-12.1091
14,adaptive,4.6006,4.6011,,-11.3708,4.5861,-11.7146
14,fixed,4.9337,4.9436,,-7.9035,3.9462,-8.0699
14,refnoise,4.8498,4.7427,,-11.1641,4.8845,-11.4541
15,adaptive,4.5995,4.5967,,-11.4671,4.5713,-11.8418
15,fixed,4.9344,4.9448,,-7.7629,4.1281,-7.9229
15,refnoise,4.8459,4.7471,,-11.508,4.8833,-11.8638
16,adaptive,4.5974,4.5949,,-11.4676,4.5805,-12.6438
16,fixed,4.9583,4.9595,,-7.8685,4.2233,-8.4364
16,refnoise,4.8745,4.7673,,-11.5145,4.908,-12.7122
17,adaptive,4.5994,4.588,,-11.6034,4.5699,-12.7556
17,fixed,4.9661,4.9677,,-7.8467,4.252,-8.3895
17,refnoise,4.8822,4.7797,,-11.614,4.9256,-12.6489
18,adaptive,4.6028,4.5907,,-11.6367,4.5738,-12.7296
18,fixed,4.9679,4.9688,,-7.7491,4.3126,-8.2806
18,refnoise,4.8806,4.7668,,-11.5769,4.9005,-12.6935
19,adaptive,4.601,4.594,,-11.697,4.5726,-12.777
19,fixed,4.9724,4.9779,,-7.8072,4.3816,-8.3455
19,refnoise,4.8872,4.7905,,-11.6586,4.9314,-12.6871
20,adaptive,4.5988,4.6,,-11.7183,4.5871,-12.8047
20,fixed,4.9936,4.99,,-7.8579,4.477,-8.3788
20,refnoise,4.9076,4.8081,,-11.7218,4.9609,-12.6824
21,adaptive,4.6179,4.6174,,-12.5111,4.6206,-12.7019
21,fixed,7.1132,7.125,,-7.0851,7.0387,-7.0344
21,refnoise,7.0038,6.8459,,-10.8261,6.964,-10.8271
22,adaptive,4.5922,4.5842,,-10.8761,4.6154,-8.4594
22,fixed,5.2678,5.3552,,-7.6219,13.3959,-6.2624
22,refnoise,5.1765,5.1431,,-10.3912,9.7504,-5.7356
33,adaptive,4.6007,4.5875,,-11.2822,4.6317,-12.2017
33,fixed,4.9842,5.0214,,-7.9466,6.5106,-8.2381
33,refnoise,4.8997,4.8176,,-11.2187,5.5887,-11.8427
