run_id,n_trucks,ls_nmse,seed_nmse,aug_nmse
1,2,7.8324,-7.3413,-10.7099
2,4,6.1538,-8.2049,-9.9853
3,6,6.1345,-8.288,-9.9759
4,8,6.1479,-8.1698,-9.9022
5,10,6.1349,-8.2957,-10.0188
6,12,6.1432,-8.2707,-9.9363
7,14,6.1416,-8.0202,-9.9906
8,16,6.1523,-8.0806,-9.7939
9,18,6.1213,-8.2821,-9.6952
10,20,6.1793,-8.0969,-9.8649
11,22,9.1545,-4.5905,-9.0365
12,24,9.1529,-4.9176,-9.0535
13,26,9.1873,-4.6577,-8.7513
14,28,9.2241,-4.4781,-8.9997
15,30,9.2305,-4.1485,-8.5015
16,32,9.7887,-3.24,-7.7545
17,34,17.5838,7.4415,0.5106
18,36,17.5801,7.3051,0.5655
19,38,23.8034,13.5825,6.4842
20,40,23.7961,13.0616,5.2324
